Date,Close,t,log_close,t_squared,date,month,year,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
2022-09-01,4,105,1.3862943611198906,11025,2022-09-01,Sep,2022,False,False,False,False,False,False,False,False,False,False,False,True
2022-10-01,4,106,1.3862943611198906,11236,2022-10-01,Oct,2022,False,False,False,False,False,False,False,False,False,False,True,False
2022-11-01,4,107,1.3862943611198906,11449,2022-11-01,Nov,2022,False,False,False,False,False,False,False,False,False,True,False,False
2022-12-01,4,108,1.3862943611198906,11664,2022-12-01,Dec,2022,False,False,True,False,False,False,False,False,False,False,False,False
2023-01-01,4,109,1.3862943611198906,11881,2023-01-01,Jan,2023,False,False,False,False,True,False,False,False,False,False,False,False
2023-02-01,4,110,1.3862943611198906,12100,2023-02-01,Feb,2023,False,False,False,True,False,False,False,False,False,False,False,False
2023-03-01,4,111,1.3862943611198906,12321,2023-03-01,Mar,2023,False,False,False,False,False,False,False,True,False,False,False,False
2023-04-01,4,112,1.3862943611198906,12544,2023-04-01,Apr,2023,True,False,False,False,False,False,False,False,False,False,False,False
2023-05-01,4,113,1.3862943611198906,12769,2023-05-01,May,2023,False,False,False,False,False,False,False,False,True,False,False,False
2023-06-01,4,114,1.3862943611198906,12996,2023-06-01,Jun,2023,False,False,False,False,False,False,True,False,False,False,False,False
2023-07-01,4,115,1.3862943611198906,13225,2023-07-01,Jul,2023,False,False,False,False,False,True,False,False,False,False,False,False
2023-08-01,4,116,1.3862943611198906,13456,2023-08-01,Aug,2023,False,True,False,False,False,False,False,False,False,False,False,False
2023-09-01,5,117,1.6094379124341003,13689,2023-09-01,Sep,2023,False,False,False,False,False,False,False,False,False,False,False,True
2023-10-01,4,118,1.3862943611198906,13924,2023-10-01,Oct,2023,False,False,False,False,False,False,False,False,False,False,True,False
2023-11-01,4,119,1.3862943611198906,14161,2023-11-01,Nov,2023,False,False,False,False,False,False,False,False,False,True,False,False
2023-12-01,5,120,1.6094379124341003,14400,2023-12-01,Dec,2023,False,False,True,False,False,False,False,False,False,False,False,False
2024-01-01,5,121,1.6094379124341003,14641,2024-01-01,Jan,2024,False,False,False,False,True,False,False,False,False,False,False,False
2024-02-01,5,122,1.6094379124341003,14884,2024-02-01,Feb,2024,False,False,False,True,False,False,False,False,False,False,False,False
